Neighborhood,Neighborhood_Latitude,Neighborhood_Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue Category,Rating,geometry,index_right,LAT,LON,Vict Sex,Age Category,Crimes_Commited
Alsace,33.988758,-118.3481593,Simply Wholesome,33.988638,-118.354489,health,4.6,POINT (-118.3481593 33.988758),34588,33.9889,-118.3481,F,35-60,2
Alsace,33.988758,-118.3481593,Little Angels Nursery School,33.9927767,-118.3402257,school,4.3,POINT (-118.3481593 33.988758),34588,33.9889,-118.3481,F,35-60,2
Alsace,33.988758,-118.3481593,Wayfinder Family Services,33.9943271,-118.3435266,school,3.9,POINT (-118.3481593 33.988758),34588,33.9889,-118.3481,F,35-60,2
Alsace,33.988758,-118.3481593,Fadealistcutts braiding and grooming studio (appointments only),33.989158,-118.34357,health,5.0,POINT (-118.3481593 33.988758),34588,33.9889,-118.3481,F,35-60,2
Alsace,33.988758,-118.3481593,Simply Wholesome,33.988638,-118.354489,health,4.6,POINT (-118.3481593 33.988758),34587,33.9889,-118.3481,F,18-35,2
Alsace,33.988758,-118.3481593,Little Angels Nursery School,33.9927767,-118.3402257,school,4.3,POINT (-118.3481593 33.988758),34587,33.9889,-118.3481,F,18-35,2
Alsace,33.988758,-118.3481593,Wayfinder Family Services,33.9943271,-118.3435266,school,3.9,POINT (-118.3481593 33.988758),34587,33.9889,-118.3481,F,18-35,2
Alsace,33.988758,-118.3481593,Fadealistcutts braiding and grooming studio (appointments only),33.989158,-118.34357,health,5.0,POINT (-118.3481593 33.988758),34587,33.9889,-118.3481,F,18-35,2
Alsace,33.988758,-118.3481593,Simply Wholesome,33.988638,-118.354489,health,4.6,POINT (-118.3481593 33.988758),34590,33.9889,-118.3481,M,35-60,8
Alsace,33.988758,-118.3481593,Little Angels Nursery School,33.9927767,-118.3402257,school,4.3,POINT (-118.3481593 33.988758),34590,33.9889,-118.3481,M,35-60,8
Alsace,33.988758,-118.3481593,Wayfinder Family Services,33.9943271,-118.3435266,school,3.9,POINT (-118.3481593 33.988758),34590,33.9889,-118.3481,M,35-60,8
Alsace,33.988758,-118.3481593,Fadealistcutts braiding and grooming studio (appointments only),33.989158,-118.34357,health,5.0,POINT (-118.3481593 33.988758),34590,33.9889,-118.3481,M,35-60,8
Alsace,33.988758,-118.3481593,Simply Wholesome,33.988638,-118.354489,health,4.6,POINT (-118.3481593 33.988758),34589,33.9889,-118.3481,M,18-35,2
Alsace,33.988758,-118.3481593,Little Angels Nursery School,33.9927767,-118.3402257,school,4.3,POINT (-118.3481593 33.988758),34589,33.9889,-118.3481,M,18-35,2
Alsace,33.988758,-118.3481593,Wayfinder Family Services,33.9943271,-118.3435266,school,3.9,POINT (-118.3481593 33.988758),34589,33.9889,-118.3481,M,18-35,2
Alsace,33.988758,-118.3481593,Fadealistcutts braiding and grooming studio (appointments only),33.989158,-118.34357,health,5.0,POINT (-118.3481593 33.988758),34589,33.9889,-118.3481,M,18-35,2
Angelino Heights,34.0705558,-118.2545364,Echo Park,34.0738558,-118.259395,park,4.5,POINT (-118.2545364 34.0705558),100951,34.0706,-118.2545,F,35-60,2
Angelino Heights,34.0705558,-118.2545364,El Compadre,34.075174,-118.253142,bar,4.3,POINT (-118.2545364 34.0705558),100951,34.0706,-118.2545,F,35-60,2
Angelino Heights,34.0705558,-118.2545364,Echo Park,34.0738558,-118.259395,park,4.5,POINT (-118.2545364 34.0705558),100950,34.0706,-118.2545,F,18-35,6
Angelino Heights,34.0705558,-118.2545364,El Compadre,34.075174,-118.253142,bar,4.3,POINT (-118.2545364 34.0705558),100950,34.0706,-118.2545,F,18-35,6
Angelino Heights,34.0705558,-118.2545364,Echo Park,34.0738558,-118.259395,park,4.5,POINT (-118.2545364 34.0705558),100953,34.0706,-118.2545,M,35-60,3
Angelino Heights,34.0705558,-118.2545364,El Compadre,34.075174,-118.253142,bar,4.3,POINT (-118.2545364 34.0705558),100953,34.0706,-118.2545,M,35-60,3
Angelino Heights,34.0705558,-118.2545364,Echo Park,34.0738558,-118.259395,park,4.5,POINT (-118.2545364 34.0705558),100952,34.0706,-118.2545,M,18-35,2
Angelino Heights,34.0705558,-118.2545364,El Compadre,34.075174,-118.253142,bar,4.3,POINT (-118.2545364 34.0705558),100952,34.0706,-118.2545,M,18-35,2
Angeles Mesa,33.9948047,-118.3228719,Van Ness Recreation Center,33.9905244,-118.3190525,park,4.2,POINT (-118.3228719 33.9948047),39027,33.995,-118.3226,F,35-60,2
