Neighborhood,Total Crimes,Distinct Venue Categories,School Count,Rest Count,Health Count,Bar Count,Grocery Count,Park Count,Female Crimes,Male Crimes,18-35,35-60,60+,<18
Skid Row,2776,2,0,35,0,21,0,0,1368.0,1408.0,720.0,1616.0,424.0,16.0
Downtown Los Angeles,730,3,0,18,0,18,9,0,210.0,515.0,290.0,325.0,95.0,20.0
Vermont-Slauson,444,3,8,16,0,0,8,0,228.0,216.0,200.0,172.0,36.0,36.0
Castle Heights,312,3,0,24,0,8,16,0,138.0,174.0,132.0,132.0,30.0,18.0
Brookside,295,2,0,12,18,0,0,0,90.0,190.0,115.0,170.0,10.0,0.0
Valley Village,264,2,0,21,0,0,0,7,160.0,104.0,164.0,84.0,12.0,4.0
Arts District,232,2,0,30,0,10,0,0,96.0,136.0,152.0,72.0,8.0,0.0
Civic Center,228,2,0,18,0,0,0,6,96.0,132.0,100.0,116.0,12.0,0.0
NoHo Arts District,225,2,0,16,0,0,0,8,78.0,147.0,126.0,72.0,18.0,9.0
411,212,1,0,24,0,0,0,0,76.0,136.0,56.0,128.0,28.0,0.0
Vermont Vista,208,3,14,0,7,0,0,7,92.0,116.0,100.0,84.0,12.0,12.0
Toy District,208,2,0,30,0,18,0,0,72.0,136.0,72.0,96.0,40.0,0.0
Koreatown,195,2,0,21,0,14,0,0,65.0,130.0,105.0,70.0,10.0,10.0
Marina Peninsula,182,3,0,8,0,16,0,4,77.0,105.0,98.0,84.0,0.0,0.0
Canoga Park,150,4,8,8,16,0,8,0,40.0,110.0,50.0,80.0,10.0,10.0
Eagle Rock,148,2,0,21,0,7,0,0,44.0,104.0,52.0,68.0,24.0,4.0
1852,142,2,0,8,0,0,0,8,54.0,88.0,58.0,66.0,12.0,6.0
Historic Filipinotown,128,3,0,16,0,8,0,8,48.0,72.0,56.0,40.0,28.0,4.0
Larchmont Village,128,2,16,16,0,0,0,0,88.0,36.0,40.0,64.0,20.0,4.0
Thai Town,116,2,0,7,7,0,0,0,66.0,50.0,46.0,52.0,16.0,2.0
Melrose Hill,96,3,0,7,7,7,0,0,60.0,36.0,51.0,30.0,3.0,12.0
Vermont Square,96,3,6,12,6,0,0,0,44.0,52.0,52.0,32.0,0.0,12.0
Little Ethiopia,92,2,0,5,15,0,0,0,44.0,48.0,24.0,60.0,0.0,8.0
Elysian Park,80,2,6,0,6,0,0,0,36.0,44.0,38.0,36.0,4.0,2.0
South Carthay,80,3,0,4,12,0,4,0,30.0,50.0,15.0,50.0,15.0,0.0
Reseda,72,2,0,6,12,0,0,0,24.0,48.0,21.0,36.0,15.0,0.0
Playa Vista,72,1,0,0,12,0,0,0,32.0,40.0,20.0,46.0,4.0,2.0
Westwood Village,71,1,0,8,0,0,0,0,37.0,34.0,35.0,24.0,10.0,2.0
Green Meadows,69,3,7,7,7,0,0,0,48.0,21.0,21.0,33.0,3.0,12.0
Wilmington,66,3,8,8,0,0,8,0,48.0,18.0,45.0,9.0,6.0,6.0
Hyde Park,63,1,9,0,0,0,0,0,36.0,26.0,28.0,25.0,3.0,7.0
Historic Core,60,2,0,18,0,6,0,0,12.0,44.0,24.0,24.0,12.0,0.0
Mount Olympus,60,2,0,5,15,0,0,0,40.0,20.0,12.0,44.0,4.0,0.0
Historic South Central Los Angeles,57,3,4,0,4,0,4,0,39.0,18.0,36.0,21.0,0.0,0.0
Sherman Oaks,56,5,3,9,3,3,6,0,8.0,48.0,24.0,32.0,0.0,0.0
